ARTIST,DEBUT,POPULARITY,MEMBERS,GENRE,COUNTRY,GENDER
Bruno Mars,2010,1,Solo,Pop,US,Male
Ariana Grande,2011,2,Solo,Pop,US,Female
Taylor Swift,2006,3,Solo,Pop,US,Female
Sabrina Carpenter,2014,4,Solo,Pop,US,Female
The Weeknd,2011,5,Solo,Pop,CA,Male
Justin Bieber,2009,6,Solo,Pop,CA,Male
Lady Gaga,2008,7,Solo,Pop,US,Female
Shakira,1995,8,Solo,Pop,CO,Female
Rihanna,2005,9,Solo,Pop,BB,Female
Ed Sheeran,2009,10,Solo,Pop,GB,Male
Katy Perry,2007,11,Solo,Pop,US,Female
Selena Gomez,2011,12,Solo,Pop,US,Female
Adele,2008,13,Solo,Pop,GB,Female
Dua Lipa,2015,14,Solo,Pop,GB,Female
Beyoncé,2002,15,Solo,Pop,US,Female
One Direction,2010,16,Group,Pop,GB,Male
Chris Brown,2005,17,Solo,Pop,US,Male
Maroon 5,2002,18,Group,Pop,US,Male
Jason Derulo,2010,19,Solo,Pop,US,Male
Olivia Rodrigo,2016,20,Solo,Pop,US,Female
Michael Jackson,1972,21,Solo,Pop,US,Male
Mariah Carey,1990,22,Solo,Pop,US,Female
Shawn Mendes,2015,23,Solo,Pop,CA,Male
Miley Cyrus,2007,24,Solo,Pop,US,Female
Sia,2000,25,Solo,Pop,AU,Female
Pitbull,2004,26,Solo,Pop,US,Male
Jennifer Lopez,1999,27,Solo,Pop,US,Female
Harry Styles,2017,28,Solo,Pop,GB,Male
Doja Cat,2014,29,Solo,Pop,US,Female
Camila Cabello,2017,30,Solo,Pop,US,Female
Britney Spears,1999,31,Solo,Pop,US,Female
Enrique Iglesias,1995,32,Solo,Pop,ES,Male
Demi Lovato,2008,33,Solo,Pop,US,Female
Justin Timberlake,2002,34,Solo,Pop,US,Male
ZAYN,2016,35,Solo,Pop,GB,Male
Sam Smith,2013,36,Solo,Pop,GB,Male
Teddy Swims,2019,37,Solo,Pop,US,Male
