Artist, TwoGuesses, ThreeGuesses
Yuridia, 8.44, 37.14
INNA, 8.24, 37.44
Stromae, 8.14, 37.84
Zara Larsson, 7.94, 36.25
Alessia Cara, 7.85, 36.44
Carly Rae Jepsen, 7.75, 37.54
Grimes, 7.65, 35.65
Christina Perry, 7.65, 34.66
Nick Jonas, 7.65, 33.76
Nelly Furtado, 7.65, 37.14
Tove Lo., 7.55, 34.56
Indila, 7.35, 34.76
Mark Ronson, 7.15, 35.65
Conor Maynard, 7.15, 32.77
Kelly Clarkson, 7.05, 30.78
Sofia Carson, 7.05, 31.38
Fergie, 7.05, 34.86
Michael Buble, 6.95, 35.05
Jason Mraz, 6.95, 34.26
Rita Ora, 6.85, 34.86
Madison Beer, 6.85, 33.86
Noah Cyrus, 6.85, 30.19
Dove Cameron, 6.85, 30.39
MO, 6.75, 34.36
GIMS, 6.75, 35.55
Bebe Rexha, 6.75, 32.37
Hailee Steinfeld, 6.75, 30.78
Labrinth, 6.65, 35.45
John Mayer, 6.55, 33.07
will.i.am, 6.55, 35.15
Lizzo, 6.55, 31.68
James Blunt, 6.55, 34.46
Rachel Platten, 6.45, 35.75
Nicole Scherzinger, 6.45, 33.86
Laura Pausini, 6.45, 33.76
Gwen Stefani, 6.45, 34.26
Lykke Li, 6.36, 35.05
Woodkid, 6.36, 32.67
Astrid S, 6.36, 32.67
Alanis Morissette, 6.36, 31.78
Niall Horan, 6.26, 31.28
Robbie Williams, 6.16, 33.17
Julien Doré, 6.16, 33.17
Backstreet Boys, 6.16, 32.17
George Ezra, 6.16, 36.15
benny blanco, 6.16, 29.49
James Arthur, 6.06, 32.97
Calum Scott, 6.06, 32.57
Christina Aguilera, 6.06, 31.08
Jason Derulo, 6.06, 28.90
RAYE, 6.06, 31.58
Eros Ramazzotti, 6.06, 30.09
Music Travel Love, 6.06, 36.54
Owl City, 6.06, 30.19
St. Vincent, 6.06, 32.57
Lasso, 6.06, 30.98
Adrianne Lenker, 5.86, 30.69
Tory Lanez, 5.86, 33.27
Kesha, 5.86, 31.08
Shawn Mendes, 5.86, 31.38
Jack Johnson, 5.86, 30.78
Justin Timberlake, 5.86, 27.21
Modern Talking, 5.86, 32.47
Fifth Harmony, 5.76, 35.65
Jósean Log, 5.76, 33.17
Loreen, 5.66, 32.87
Aitana, 5.66, 30.19
Ruth B, 5.66, 31.78
Nate Ruess, 5.56, 31.38
Alphaville, 5.56, 30.09
Carla Morrison, 5.56, 31.98
Lacrim, 5.56, 34.36
he Weeknd, 5.56, 29.89
Russ, 5.56, 32.27
Charlie Puth, 5.56, 27.21
Liam Payne, 5.56, 28.70
Meghan Trainor, 5.56, 26.91
Chris Brown, 5.56, 29.29
Jonas Brothers, 5.56, 32.47
LP, 5.46, 30.98
Passenger, 5.46, 29.89
Pentatonix, 5.46, 32.17
Andy Grammer, 5.46, 31.98
Mac Miller, 5.46, 30.09
Kimbra, 5.46, 31.58
The Pussycat Dolls, 5.46, 33.07
Enrique Iglesias, 5.46, 33.57
Lewis Capaldi, 5.46, 29.59
Khalid, 5.46, 26.81
Lyna, 5.46, 29.10
Beyoncé, 5.36, 29.49
ustin Bieber, 5.36, 29.20
bbno$, 5.36, 30.19
Sufjan Stevens, 5.36, 31.28
Suki Waterhouse, 5.36, 28.30
Bjork, 5.36, 33.47
Dido, 5.36, 34.86
ihanna, 5.36, 31.18
Jessie J, 5.36, 33.07
Idina Menzel, 5.26, 32.57
Westlife, 5.26, 34.86
Pomme, 5.26, 31.38
Elley Duhe, 5.26, 25.62
Austin Mahone, 5.26, 31.48
Jul, 5.26, 31.08
Chief Keef, 5.26, 30.09
Ricky Montgomery, 5.26, 30.29
Faye Webster, 5.26, 31.58
Ed Maverick, 5.26, 28.60
Roxette, 5.26, 30.88
a-ha, 5.26, 31.08
Anne-Marie, 5.16, 32.47
Jack Stauber, 5.16, 32.17
Lukas Graham, 5.16, 34.26
Niska, 5.16, 31.68
Alex G, 5.16, 30.19
Boney M, 5.16, 29.69
Jaymes Young, 5.16, 31.18
Bella Poarch, 5.16, 23.93
2 Chainz, 5.16, 32.67
Booba, 5.16, 31.48
Coco Jones, 5.16, 32.67
FKA twigs, 5.16, 30.88
Mac DeMarco, 5.16, 30.49
Ava Max, 5.16, 25.92
Céline Dion, 5.16, 27.31
Tate McRae, 5.16, 27.61
Ellie Goulding, 5.06, 30.29
Demi Lovato, 5.06, 31.18
SYML, 5.06, 28.20
Cavetown, 5.06, 31.88
Addison Rae, 5.06, 28.10
Ninho, 5.06, 30.69
JID, 5.06, 27.90
Rich The Kid, 5.06, 28.30
Lenny Kravitz, 5.06, 26.81
Patrick Watson, 5.06, 30.59
Ali Gatie, 5.06, 29.00
Cuco, 5.06, 30.19
Kid Cudi, 5.06, 29.99
Eyedress, 4.97, 28.40
Selena Gomez, 4.97, 28.10
Lil Yachty, 4.97, 27.51
Connor Price, 4.97, 29.89
B.o.B., 4.97, 32.37
Maggie Rogers, 4.97, 28.30
Doja Cat, 4.97, 28.40
Jennifer Hudson, 4.97, 29.89
Yseult, 4.97, 32.57
Lloyd, 4.97, 30.59
K. Michelle, 4.97, 26.61
*nsync, 4.97, 31.38
Ed Sheeran, 4.97, 28.50
Jain, 4.87, 29.20
Teyana Taylor, 4.87, 29.00
Craig David, 4.87, 32.57
Marilyn Manson, 4.87, 28.60
Fantasia, 4.87, 30.88
Camila Cabello, 4.87, 26.91
Britney Spears, 4.87, 28.60
Jessie Reyez, 4.87, 28.10
Tamia, 4.87, 31.68
CG5, 4.87, 26.81
Joe Jonas, 4.87, 29.79
Offset, 4.87, 29.10
Sevdaliza, 4.87, 29.89
Dax, 4.87, 29.99
Mattybraps, 4.87, 26.81
Novo Amor, 4.87, 30.69
Em Beihold, 4.87, 28.00
YG, 4.87, 30.19
Lindsay Lohan, 4.87, 30.88
Julieta Venegas, 4.87, 27.90
Ashe, 4.87, 26.81
Mike Posner, 4.87, 29.49
Leona Lewis, 4.87, 31.18
Lola Young, 4.87, 28.40
Vū., 4.87, 25.62
mgk, 4.87, 29.59
ZAYN, 4.77, 26.81
Declan McKenna, 4.77, 30.88
Aloe Blacc, 4.77, 28.50
Halsey, 4.77, 26.32
Sting, 4.77, 25.62
Ashanti, 4.77, 29.69
Neoni, 4.77, 29.49
Jeremy Zucker, 4.77, 31.18
Phoebe Bridgers, 4.77, 28.10
Daya, 4.77, 28.00
Meek Mill, 4.77, 29.69
G-Eazy, 4.77, 28.40
Katy Perry, 4.77, 29.79
abrina Carpenter, 4.77, 26.91
riana Grande, 4.77, 26.32
Thundercat, 4.67, 29.79
Pitbull, 4.67, 28.60
Michael Kiwanuka, 4.67, 30.09
Keke Palmer, 4.67, 29.00
Cassie, 4.67, 28.50
Omarion, 4.67, 30.19
Victoria Monet, 4.67, 27.81
Sam Smith, 4.67, 29.59
Neil Young, 4.67, 20.75
Bryan Adams, 4.67, 23.04
Lauren Spencer Smith, 4.67, 25.72
Theo Von, 4.67, 28.70
Ludacris, 4.67, 29.99
ScHoolboy Q, 4.67, 27.90
Two Feet, 4.67, 29.49
Lyodra, 4.67, 27.71
Tee Grizzley, 4.67, 26.91
Chance the Rapper, 4.67, 28.80
Victoria Justice, 4.67, 31.68
George Michael, 4.67, 30.29
