id,artist,debut,popularity,members,genre,country,gender
95,Yuridia,2005,101,Solo,Pop,MX,"Female"
96,Lyodra,2017,161,Solo,Pop,ID,"Female"
97,Luther Vandross,1979,66,Solo,R&B,US,"Male"
99,Playboi Carti,2016,14,Solo,Hip Hop,US,"Male"
101,Post Malone,2016,4,Solo,Hip Hop,US,"Male"
106,Kesha,2009,61,Solo,Pop,US,"Female"
107,Brandy,1994,67,Solo,R&B,US,"Female"
110,GloRila,2019,46,Solo,Hip Hop,US,"Female"
112,Kaash Paige,2019,157,Solo,R&B,US,"Female"
114,Maroon 5,2002,19,Group,Pop,US,"Male"
117,Kid Cudi,2009,111,Solo,Hip Hop,US,"Male"
119,Matt Hansen,2021,113,Solo,Indie,US,"Male"
120,Zara Larsson,2012,90,Solo,Pop,SE,"Female"
122,Masego,2016,113,Solo,R&B,US,"Male"
123,LANY,2015,178,Group,Indie,US,"Male"
124,Payung Teduh,2010,143,Group,Indie,ID,"Mixed"
128,Cigarettes After Sex,2012,6,Group,Indie,US,"Male"
130,Shawn Mendes,2015,26,Solo,Pop,CA,"Male"
131,Sufjan Stevens,2003,117,Solo,Indie,US,"Male"
132,John Legend,2003,9,Solo,R&B,US,"Male"
133,Anthony Hamilton,2003,128,Solo,R&B,US,"Male"
134,CeeLo Green,2002,136,Solo,R&B,US,"Male"
135,Trey Songz,2005,30,Solo,R&B,US,"Male"
136,Cassie,2006,71,Solo,R&B,US,"f"
137,Doechii,2019,8,Solo,Hip Hop,US,"Female"
139,Stromae,2009,82,Solo,Pop,BE,"Male"
140,August Alsina,2013,99,Solo,R&B,US,"Male"
143,Faith Evans,1995,165,Solo,R&B,US,"Female"
148,LP,2007,70,Solo,Rock,US,"Female"
149,Frank Sinatra,1946,109,Solo,Pop,US,"Male"
150,YUNGBLUD,2018,82,Solo,Rock,GB,"Male"
152,Alessia Cara,2015,110,Solo,Pop,CA,"Female"
153,Dr. Dre,1992,31,Solo,Hip Hop,US,"Male"
157,INNA,2010,91,Solo,Pop,RO,"Female"
158,Lil Nas X,2019,35,Solo,Hip Hop,US,"Male"
160,6ix9ine,2017,73,Solo,Hip Hop,US,"Male"
168,BigXthaPlug,2020,84,Solo,Hip Hop,US,"Male"
169,Victoria Monet,2014,103,Solo,R&B,US,"Female"
175,Tinashe,2014,58,Solo,R&B,US,"Female"
177,Tory Lanez,2012,52,Solo,Hip Hop,CA,"Male"
181,Taylor Swift,2006,5,Solo,Pop,US,"Female"
188,Mark Ronson,2003,92,Solo,Pop,GB,"Male"
190,Oh Wonder,2015,194,Group,Indie,GB,"Mixed"
191,A$AP Ferg,2013,192,Solo,Hip Hop,US,"Male"
193,bbno$,2016,28,Solo,Hip Hop,CA,"Male"
195,Ren,2016,101,Solo,Hip Hop,GB,"Male"
196,Dave,2016,159,Solo,Hip Hop,GB,"Male"
198,Wu-Tang Clan,1992,184,Group,Hip Hop,US,"Male"
199,Charlie Wilson,1992,199,Solo,R&B,US,"Male"
207,HAIM,2012,94,Group,Indie,US,"Female"
210,Ben&Ben,2016,43,Group,Indie,PH,"Mixed"
213,WILLOW,2010,140,Solo,Rock,US,"Female"
214,A$AP Rocky,2011,21,Solo,Hip Hop,US,"Male"
216,Olivia Rodrigo,2016,23,Solo,Pop,US,"Female"
218,Imogen Heap,1998,26,Solo,Indie,GB,"Female"
220,Logic,2014,177,Solo,Hip Hop,US,"Male"
221,Conan Gray,2018,15,Solo,Indie,US,"Male"
224,Keyshia Cole,2004,51,Solo,R&B,US,"Female"
231,Duki,1996,54,Solo,Hip Hop,AR,"Male"
232,Leona Lewis,2007,198,Solo,Pop,GB,"Female"
233,Weezer,1996,78,Group,Rock,US,"Male"
237,Em Beihold,2017,112,Solo,Indie,US,"Female"
239,King Von,2018,47,Solo,Hip Hop,US,"Male"
244,Barry White,1973,94,Solo,R&B,US,"Male"
245,Stevie Wonder,1962,34,Solo,R&B,US,"Male"
247,Khalid,2016,58,Solo,Pop,US,"Male"
249,YoungBoy Never Broke Again,2016,27,Solo,Hip Hop,US,"Male"
250,Julieta Venegas,1998,23,Solo,Indie,MX,"Female"
251,Diana Ross,1970,95,Solo,R&B,US,"Female"
252,Janet Jackson,1982,44,Solo,R&B,US,"Female"
253,Brent Faiyaz,2015,29,Solo,R&B,US,"Male"
255,Doja Cat,2014,31,Solo,Pop,US,"Female"
257,Metro Boomin,2014,22,Solo,Hip Hop,US,"Male"
259,ScHoolboy Q,2011,190,Solo,Hip Hop,US,"Male"
261,Kanye West,2004,13,Solo,Hip Hop,US,"Male"
262,Iggy Azalea,2013,121,Solo,Hip Hop,AU,"Female"
265,Diamond Platnumz,2012,127,Solo,Pop,TZ,"Male"
267,Lil Yachty,2015,117,Solo,Hip Hop,US,"Male"
